"date","pd_case","px_case"
2022-03-19,167,342
2022-03-20,256,502
2022-03-21,247,649
2022-03-22,268,713
2022-03-23,289,694
2022-03-24,311,1298
2022-03-25,1956,313
2022-03-26,438,2238
2022-03-27,1723,1777
2022-03-28,2707,1770
2022-03-29,2360,3620
2022-03-30,2563,3090
2022-03-31,2676,1826
2022-04-01,2878,3433
2022-04-02,2368,5858
2022-04-03,4041,4965
2022-04-04,7234,6120
2022-04-05,8445,8632
2022-04-06,8877,11105
2022-04-07,9533,11689
2022-04-08,7643,15981
2022-04-09,11493,13450
2022-04-10,6882,19205
2022-04-11,8469,14873
2022-04-12,11207,15123
2022-04-13,15207,12512
2022-04-14,11779,11293
2022-04-15,10511,13002
2022-04-16,10912,13908
2022-04-17,7836,14412
2022-04-18,8878,11538
2022-04-19,5795,13106
2022-04-20,4579,13916
2022-04-21,4839,12790
2022-04-22,8112,15258
2022-04-23,7894,13164
2022-04-24,6351,13104
2022-04-25,4420,12560
2022-04-26,3053,10309
2022-04-27,3236,7386
2022-04-28,3544,11488
2022-04-29,2342,7839
2022-04-30,1948,5924
2022-05-01,1755,5578
2022-05-02,1314,4355
2022-05-03,992,3990
2022-05-04,949,3702
2022-05-05,740,3529
2022-05-06,713,3501
2022-05-07,737,3238
2022-05-08,718,3229
2022-05-09,604,2410
2022-05-10,271,1216
2022-05-11,262,1187
2022-05-12,291,1805
2022-05-13,197,1484
2022-05-14,169,1200
2022-05-15,103,835
2022-05-16,96,727
2022-05-17,91,764
2022-05-18,84,635
2022-05-19,86,772
2022-05-20,80,788
2022-05-21,75,547
2022-05-22,59,499
2022-05-23,60,420
2022-05-24,47,340
2022-05-25,44,294
2022-05-26,35,229
2022-05-27,28,142
2022-05-28,18,104
2022-05-29,12,55
2022-05-30,6,25
2022-05-31,4,11
2022-06-01,2,11
2022-06-02,5,11
2022-06-03,1,13
2022-06-04,1,21
2022-06-05,2,6
2022-06-06,0,10
2022-06-07,4,11
2022-06-08,2,7
2022-06-09,0,11
2022-06-10,1,15
2022-06-11,4,25
2022-06-12,3,34
2022-06-13,2,15
2022-06-14,0,15
2022-06-15,3,13
2022-06-16,0,4
2022-06-17,0,7
2022-06-18,0,9
2022-06-19,0,13
2022-06-20,0,9
2022-06-21,0,8
2022-06-22,0,9
2022-06-23,0,3
2022-06-24,0,0
2022-06-25,0,0
2022-06-26,1,3
